id,label,1,2,3,4,5,6,7,8,9,10,matches_cnt,percision,recall
3133502,10,9,9,10,9,9,9,10,9,9,9,2,0.2,0.08333333333333333
3133510,10,10,10,10,10,9,10,10,10,10,10,9,0.9,0.375
3133512,10,10,10,10,10,10,10,9,10,10,10,9,0.9,0.375
3133525,10,11,11,11,11,10,10,10,10,10,11,5,0.5,0.20833333333333334
3133514,10,10,10,10,10,10,10,10,10,9,9,8,0.8,0.3333333333333333
3133504,10,10,10,10,10,10,10,10,10,10,9,9,0.9,0.375
3133506,10,10,10,10,10,10,10,10,10,11,10,9,0.9,0.375
3133515,10,10,10,10,10,10,10,10,10,9,10,9,0.9,0.375
3133508,10,10,10,10,10,10,10,10,10,10,9,9,0.9,0.375
3133519,10,10,10,10,10,10,10,10,11,10,10,9,0.9,0.375
3133524,10,10,11,11,10,10,10,10,11,11,10,6,0.6,0.25
3133523,10,10,10,10,10,10,10,10,11,10,11,8,0.8,0.3333333333333333
3133517,10,10,10,10,10,10,10,10,10,10,9,9,0.9,0.375
3133522,10,10,10,10,10,10,10,10,10,11,11,8,0.8,0.3333333333333333
3133520,10,10,10,10,10,10,10,10,10,11,11,8,0.8,0.3333333333333333
3133518,10,10,10,10,10,10,10,11,10,10,11,8,0.8,0.3333333333333333
3133505,10,10,10,10,10,10,10,10,10,9,10,9,0.9,0.375
3133507,10,10,10,10,10,10,10,10,10,10,9,9,0.9,0.375
3133513,10,10,10,10,10,10,10,10,9,10,9,8,0.8,0.3333333333333333
3133516,10,10,10,10,10,10,10,10,10,9,9,8,0.8,0.3333333333333333
3133511,10,10,10,10,10,10,9,10,10,9,10,8,0.8,0.3333333333333333
3133521,10,10,10,10,10,10,10,10,11,11,11,7,0.7,0.2916666666666667
3133509,10,10,10,10,10,10,10,10,10,10,9,9,0.9,0.375
3133503,10,10,10,10,10,10,9,9,10,9,9,6,0.6,0.25
3133751,17,17,17,17,17,18,18,17,17,17,17,8,0.8,0.26666666666666666
3133746,17,17,17,17,17,17,17,17,17,17,16,9,0.9,0.3
3133749,17,17,17,17,17,17,17,17,17,17,17,10,1.0,0.3333333333333333
3133764,17,17,17,17,17,18,17,17,18,16,19,6,0.6,0.2
3133766,17,18,17,17,17,19,19,17,19,18,19,4,0.4,0.13333333333333333
3133767,17,17,18,17,17,17,18,17,19,17,19,6,0.6,0.2
3133743,17,17,17,17,17,17,17,18,17,17,18,8,0.8,0.26666666666666666
3133744,17,17,17,17,17,17,17,17,17,17,19,9,0.9,0.3
3133760,17,17,17,17,18,18,17,17,18,18,18,5,0.5,0.16666666666666666
3133748,17,17,17,17,17,17,17,17,17,17,16,9,0.9,0.3
3133754,17,17,17,17,17,17,17,17,18,18,17,8,0.8,0.26666666666666666
3133750,17,17,17,17,17,17,17,17,17,17,19,9,0.9,0.3
3133762,17,17,17,17,17,19,18,17,17,19,18,6,0.6,0.2
3133757,17,17,17,17,17,17,17,17,18,17,18,8,0.8,0.26666666666666666
3133759,17,17,17,17,17,17,18,17,17,17,17,9,0.9,0.3
3133739,17,16,17,17,17,17,16,16,17,16,17,6,0.6,0.2
3133742,17,17,17,17,17,17,17,19,18,18,18,6,0.6,0.2
3133747,17,17,17,17,17,17,16,17,16,16,16,6,0.6,0.2
3133752,17,17,17,18,17,18,17,17,18,17,18,6,0.6,0.2
3133745,17,17,17,17,17,17,17,17,17,19,17,9,0.9,0.3
3133763,17,17,18,17,17,17,18,17,17,17,19,7,0.7,0.23333333333333334
3133740,17,16,17,17,17,17,16,16,17,17,16,6,0.6,0.2
3133761,17,17,17,17,17,18,17,18,17,17,17,8,0.8,0.26666666666666666
3133741,17,17,17,17,17,19,17,19,19,17,17,7,0.7,0.23333333333333334
3133738,17,16,17,17,17,17,16,16,16,16,19,4,0.4,0.13333333333333333
3133756,17,17,17,17,17,17,17,17,18,17,16,8,0.8,0.26666666666666666
3133755,17,17,17,17,17,17,18,18,17,17,17,8,0.8,0.26666666666666666
3133753,17,17,17,17,17,17,17,17,18,17,17,9,0.9,0.3
3133758,17,17,17,17,17,17,17,17,18,18,18,7,0.7,0.23333333333333334
3133765,17,17,17,17,18,17,19,18,17,19,17,6,0.6,0.2
3133499,9,9,9,9,9,9,9,9,10,10,9,8,0.8,0.16
3133453,9,9,9,9,9,9,8,9,8,8,9,7,0.7,0.14
3133487,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133465,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133495,9,9,9,9,9,9,9,9,9,10,10,8,0.8,0.16
3133488,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133474,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133500,9,9,9,9,9,9,9,10,9,9,10,8,0.8,0.16
3133484,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133485,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133466,9,9,9,9,9,9,9,9,9,8,9,9,0.9,0.18
3133478,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133457,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
3133501,9,10,9,9,9,9,9,9,9,9,10,8,0.8,0.16
3133493,9,9,9,9,9,9,9,9,9,9,10,9,0.9,0.18
3133469,9,9,9,9,9,9,9,9,8,9,9,9,0.9,0.18
3133483,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133454,9,9,9,9,9,9,8,8,8,9,8,6,0.6,0.12
3133476,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133460,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
3133486,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
3133471,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133456,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
3133472,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133458,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133480,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133467,9,9,9,9,9,9,9,9,9,8,8,8,0.8,0.16
3133496,9,9,9,9,9,9,9,10,9,9,10,8,0.8,0.16
3133452,9,9,9,8,8,8,9,9,9,8,9,6,0.6,0.12
3133481,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133473,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
3133491,9,9,9,9,9,9,9,9,9,9,9,10,1.0,0.2
3133492,9,9,9,9,10,9,9,9,9,9,9,9,0.9,0.18
3133490,9,9,9,9,9,9,9,9,9,9,8,9,0.9,0.18
